"","text","topic","linenumber"
"31","Q: Will Dying Light have an Expansion on the Story Campaign???   ","Frequently asked questions",31
"32","Will Humans every get a well deserved nerfed n rework? and will the uv light every be touched or will hunters forever be uv spam hunted","Frequently asked questions",32
"33","@dasorrowIs every Hunter whiny about what the humans can or cant do? Seriously though, this talk of nerfing things has completely skipped over the most glaring imbalance of all, the range and near unlimited use of the tendrils, range and power of pounce (KO), and the bomber squad, nevermind UV block. I really dont think that any hunter that is yelling about nerfing this or that, (besides legitimate cheating like flare spamming) should have anything to say. You are playing with creative and violent people like me that actively pursue and kill Hunters when it is necessary. Get creative, start doing off the wall things that no-one has done before and enjoy the game as it is made. Since we are playing ""Nerf the Sucker"" why not give hunters a world all to their own that they can pounce on hapless and non-creative humans that wont fight back. Oh wait, we already did. How about nerfing weapons into oblivion so we can't kill said Hunter. Get rid of Airstrikes completely and any weapon above green cant be used. Nope, defeats the purpose of trying for hunters and survivors alike. I know, here is a novel idea!  Lets get back to attacking each other and strategizing our way into a win! Or does every Hunter have the ""Woe is me"" syndrome? Seriously, Humans aren't easy to kill NPCs but neither are the Hunters. Level up and get tough. Enough Satire for me,  Good Night and Good Hunting","Frequently asked questions",33
"34","@dasorrowIs every Hunter whiny about what the humans can or cant do? Seriously though, this talk of nerfing things has completely skipped over the most glaring imbalance of all, the range and near unlimited use of the tendrils, range and power of pounce (KO), and the bomber squad, nevermind UV block. I really dont think that any hunter that is yelling about nerfing this or that, (besides legitimate cheating like flare spamming) should have anything to say. You are playing with creative and violent people like me that actively pursue and kill Hunters when it is necessary. Get creative, start doing off the wall things that no-one has done before and enjoy the game as it is made. Since we are playing ""Nerf the Sucker"" why not give hunters a world all to their own that they can pounce on hapless and non-creative humans that wont fight back. Oh wait, we already did. How about nerfing weapons into oblivion so we can't kill said Hunter. Get rid of Airstrikes completely and any weapon above green cant be used. Nope, defeats the purpose of trying for hunters and survivors alike. I know, here is a novel idea!  Lets get back to attacking each other and strategizing our way into a win! Or does every Hunter have the ""Woe is me"" syndrome? Seriously, Humans aren't easy to kill NPCs but neither are the Hunters. Level up and get tough. Enough Satire for me,  Good Night and Good HuntingIn the nicest way I can put it, dasorrow does not represent the Night Hunter community. He tends to be overly negative on the BtZ boards as well. Most of us are quite content with the new balancing. Humans and Hunters each have their own powerful weapons/tools, with many of the glitches having been addressed. Duping is still rampant and affects daily BtZ play, but that's something the Devs must deal with. It's out of our hands. That being said, I can't really see Locomotion or Pounce ever being nerfed. They're pretty staple techniques for the Night Hunter. To remove or lessen Pounce would be like asking Humans to lose the UV Light. Together, they serve a balancing purpose as the Sword an Shield of BtZ. Survivor Sense allows Humans to track the Night Hunter effectively, so there's little reason for Locomotion to receive any speed/distance nerfs. The same goes with Horde Spit and UV Block. Hunters need weapons that can be effective against multiple players. Horde Spit is the perfect tool for attacking/separating Humans in 1 Vs. 2+, and UV Block ensures Flammers can't take advantage of the metaphorical UV ""net"" Hunters become trapped in once their shields have been depleted.","Frequently asked questions",34
"35","In the nicest way I can put it, dasorrow does not represent the Night Hunter community. He tends to be overly negative on the BtZ boards as well. Most of us are quite content with the new balancing. Humans and Hunters each have their own powerful weapons/tools, with many of the glitches having been addressed. Duping is still rampant and affects daily BtZ play, but that's something the Devs must deal with. It's out of our hands. That being said, I can't really see Locomotion or Pounce ever being nerfed. They're pretty staple techniques for the Night Hunter. To remove or lessen Pounce would be like asking Humans to lose the UV Light. Together, they serve a balancing purpose as the Sword an Shield of BtZ. Survivor Sense allows Humans to track the Night Hunter effectively, so there's little reason for Locomotion to receive any speed/distance nerfs. The same goes with Horde Spit and UV Block. Hunters need weapons that can be effective against multiple players. Horde Spit is the perfect tool for attacking/separating Humans in 1 Vs. 2+, and UV Block ensures Flammers can't take advantage of the metaphorical UV ""net"" Hunters become trapped in once their shields have been depleted.I am sorry about that Doctor Purrington,I understand that he does not represent the Night Hunter Community as a whole and I have been going through previous posts and he does have a very negative tone. I just get tired of it and I am not known for keeping my mouth shut. lol  I enjoy the new balancing as well playing as a human, and unfortunately duping is very much still an issue. Realistically speaking, give a guy an inch and he takes a mile. Everyone and their grandmother these days are looking for ways to break the system. A majority of what I wrote was in part to take a stab at what Dasorrow said and see if there would be a paradigm shift through use of sarcasm and satire(?) however I also believe that a majority of people have the ""Screen Syndrome"" where people are perceived as NPCs. I am not going further antagonize the Hunter Community as a whole, I may point out problem children though. lol As it where, locomotion systems, pouncing, DFA, Grappling Hook, etc... are vital to the way we play. It just doesnt make sense to nerf one without the other. This was the main stab I was making here, because in my opinion I think the way things are right now for us is absolutely awesome! A challenge but not impossible. (Save people higher than lvl 30 that I have super problems with attempting to win here.)  Good Night and Good Hunting Doctor Purrington!","Frequently asked questions",35
"36","I am sorry about that Doctor Purrington,I understand that he does not represent the Night Hunter Community as a whole and I have been going through previous posts and he does have a very negative tone. I just get tired of it and I am not known for keeping my mouth shut. lol  I enjoy the new balancing as well playing as a human, and unfortunately duping is very much still an issue. Realistically speaking, give a guy an inch and he takes a mile. Everyone and their grandmother these days are looking for ways to break the system. A majority of what I wrote was in part to take a stab at what Dasorrow said and see if there would be a paradigm shift through use of sarcasm and satire(?) however I also believe that a majority of people have the ""Screen Syndrome"" where people are perceived as NPCs. I am not going further antagonize the Hunter Community as a whole, I may point out problem children though. lol As it where, locomotion systems, pouncing, DFA, Grappling Hook, etc... are vital to the way we play. It just doesnt make sense to nerf one without the other. This was the main stab I was making here, because in my opinion I think the way things are right now for us is absolutely awesome! A challenge but not impossible. (Save people higher than lvl 30 that I have super problems with attempting to win here.)  Good Night and Good Hunting Doctor Purrington!the only thing as both hunter and survivor i believe needs to be changed is just the range on the uv light as i dont think it should be at the range of 5 times pounce just 1 and half (it was meant to be a defensive tool not a hunt the hunter tool) (theres a few bug fixes but they are most likely already being addressed) and the dodge ability(just make it so uv cant be used at the same time as dodge as ive played entire match where someone just dodged nonstop and flashed his light at me dodge spamming is just horrible even more so if they have booster on  to prove my point on my hard mode save with no items except the flashlight(no medkits or throwables) i was 5/4/5 and beat a level 20 hunter i had dodge and flashlight and kept on the move i was just more skilled then the hunter  but overall the balance is pretty fair as it stands","Frequently asked questions",36
"37","Will there be a sequel to this game?","Frequently asked questions",37
"38","So far (knock on wood) I've shared none of the issues pointed out by other players. (I'm on PC).Just wanted to say, this is one hell of a great game concept and so far I've had a lot of fun getting to level 24, at 80%.Keep up the great work!","Frequently asked questions",38
"39","Why zombies/biters have no hair it is weird because survivor's have hair virals have hair but biters have no hair in the dying light. Could you explain to me why?","Frequently asked questions",39
"40","Why zombies/biters have no hair it is weird because survivor's have hair virals have hair but biters have no hair in the dying light. Could you explain to me why?I think its cuz the virals are fresh dead people thats y they can run... and the bitters are more rotten so there hair sluffs off ... like u see some bitters with yellow-green skin and they expele toxin win you kill them....idk if thats why but it makes sence to me","Frequently asked questions",40
"41","I think its cuz the virals are fresh dead people thats y they can run... and the bitters are more rotten so there hair sluffs off ... like u see some bitters with yellow-green skin and they expele toxin win you kill them....idk if thats why but it makes sence to mebut after 2 month?? Noo.....in walking dead the zombies got often a bit hair....in dying light they all look same because of no hair...it looks terrible....","Frequently asked questions",41
"42","Will there be a sequel to this game?its off topic here. but yea, i think they will release another one, since DL was selled nearly 4mio times. you couldnt believe how much money the made after the sponsor warner bros. took his share of the money.i would even say techland is working on it right now.Edited March 30, 2015 by sentinel_deco","Frequently asked questions",42
"43","Does anyone know if we are going to see any dlc as far as expansion? There are an awful lot of sky scrapers in the background asking to be jumped across. Lol","Frequently asked questions",43
"44","ÐšÑƒÐ¿Ð¸Ð» Ð¸Ð³Ñ€Ñƒ , ÑƒÑÑ‚Ð°Ð½Ð¾Ð²Ð¸Ð» , Ð·Ð°Ð¿ÑƒÑÐºÐ°ÑŽ , Ñ‡Ñ‘Ñ€Ð½Ñ‹Ð¹ ÑÐºÑ€Ð°Ð½ Ð¸ Ð¿Ð»Ð²ÑƒÑŽÑ‰ÐµÐµ Ð¿Ð¾ Ð½ÐµÐ¼Ñƒ Ð¾ÐºÐ½Ð¾ Inpun not supported Ñ‡Ñ‚Ð¾ Ð´ÐµÐ»Ð°Ñ‚ÑŒ ?","Frequently asked questions",44
"45","When will the Btz patch for may come out? and any news on what will be patched","Frequently asked questions",45
"46","Fixing the Season Pass download error ITS GREAT IDEA ISN'T TECHLAND?","Frequently asked questions",46
"47","Have the developers gone too far with the BOZAK HORDE?The difficulty of that DLC content is utterly unfair and unbalanced; there are no checkpoints, and sometimes the bomb still goes off EVEN WHEN THE TRIAL IS CLEARED OR WHEN THE TIME HASN'T EVEN REACHED ZERO!!!!!!!!! Techland, I salute you for making this game to be challenging and enjoyable to players of all levels but to have this content's difficulty pushed to such madness seriously shows this team has no respect for the regular casual gamer!!!!! Your game gets 5/5 but until the checkpoints are added, difficulty toned down and the unfair explosion of leg bombs are fixed, BOZAK HORDE GETS A -100 FOR UNFAIRNESS!!!!!Edited June 3, 2015 by Jayson619","Frequently asked questions",47
"48","Knock knock.....hmmm....someone there? Hmm i think i went in.....HELLO?....is there somebody out there?......hmmm i think i must call the police, looks like a EA epidemic here........hello? Techland? Are you still alive?.......HEEEELLOOOOOOO.....................................................(* pszzszzss * IT'S IN THE GAME)","Frequently asked questions",48
"49","zero results for female character I'd imagine that's a pretty F A'd Q it's the only thing keeping me from truly enjoying the game personally ","Frequently asked questions",49
"50","Why can I not make another New Game Plus file? I've played New Game Plus once already, had fun being awesome from the get go, beat the game again, so why can't I go for the hat trick? Help, please.","Frequently asked questions",50
"51","When will ""Dying Light: The Following"" DLC be released???  and.... will it be a free download for everyone...or will it be available to the season pass holders plus out for purchase?","Frequently asked questions",51
"52","Only free for season pass holders.....without season pass it costs 15.99 â‚¬/$........but they didnt know the release date own their own now.......i think another month then maybe they say it.....","Frequently asked questions",52
"53","Dying Light Frequently Asked Questions","Frequently asked questions",53
"54","check out alleywyagames YouTube channel play through of the game dying light. they are pretty cool and it may help out or give you some good ideas!","Frequently asked questions",54
"55","Why orange weapons are so rare ? I think gold weapons  are ultra rare and hard to get. But after latest patch they made orange weapons so hard to find or buy. Before orange weapons were available in trade or shop.Edited November 29, 2015 by strike1","Frequently asked questions",55
"56","I have mayor problem I can't play with my friends online I have this problem more then a week already","Frequently asked questions",56
"57","Hi, andyboy! I've read in one of your previous posts that you're using Xbox - we are aware that some of Xbox users are experiencing these issues and we're constantly working on solutions. So don't worry, we'll get it done  ","Frequently asked questions",57
"58","Q: Will previous dying light save data works on enhanced edition? Planning to get 1.","Frequently asked questions",58
"59","Hi, Mrhtrevor! Yes, your save files will work with the Enhanced Edition  ","Frequently asked questions",59
"60","Will Dying Light ever have more characters to play as? I know Dying Light is focused on Kyle Crane's story, but a lot of gamers, including myself, would love a variety in character customization. Dying Light is not just a solo player game, it is also co-op. Kyle Crane should not be playing with himself (no pun intended). Hence, please add male/female character customization, or add a few male and female characters to play. The quests and skills can still be the same.   I am sure many gamers, not just myself, would really appreciate it and would enjoy the game even more. Dying Light is a great game. Please consider it. I am looking forward to more games similar to Dead Island and Dying Light with more features. Keep up the great work!      ","Frequently asked questions",60
"61","A Char editor like in fallout would be nice. And mirrors to see your outfit on you. Or a key to view your char from behind with rotating camera. Edited January 29, 2016 by Bl4ckSh33p","Frequently asked questions",61
"62"," To whom it may concern, I have already asked for this but I am putting it out there again and I will continue doing so until it is implemented. It is not a want that I'm asking you to put in the game but A NÃˆED!!! I am a quadriplegic gamer that cannot use his hands properly and therefore I do not use a controller I use keyboard and a large trackball mouse with four buttons to play video games but what I am asking and pleading for is that you game designers of this wonderful game please implement MOUSE STEERING!!! It is a very small request and one that can be easily added to your game and would be supremely beneficial for your disabled gamer market and I'm sure we would be extremely grateful if it were to be added! Although most of the ideas on here are pretty decent they are kinda silly/inconsequential/narcissistic compared to what I am asking for","Frequently asked questions",62
"63","  To whom it may concern, I have already asked for this but I am putting it out there again and I will continue doing so until it is implemented. It is not a want that I'm asking you to put in the game but A NÃˆED!!! I am a quadriplegic gamer that cannot use his hands properly and therefore I do not use a controller I use keyboard and a large trackball mouse with four buttons to play video games but what I am asking and pleading for is that you game designers of this wonderful game please implement MOUSE STEERING!!! It is a very small request and one that can be easily added to your game and would be supremely beneficial for your disabled gamer market and I'm sure we would be extremely grateful if it were to be added! Although most of the ideas on here are pretty decent they are kinda silly/inconsequential/narcissistic compared to what I am asking for How do you play? Edited January 31, 2016 by davidorviet","Frequently asked questions",63
"64","Will Dying Light Enhanced edition also include more than the current four save files/profile max count? Playing seperate save files with mutiple friends is difficult currently I think additional save profiles would help for people that like with older games such as Dead Island make seperate profiles for seperate fresh restarting of the game to be on level par with playthroughs with friends just starting, rather than joining a friend maxed level best weapons kind of ruins their experience.","Frequently asked questions",64
"65","The dlc ""The following"" (not enhanced edition, just the dlc) will not be released February 9th in France ??Edit: February 11th on xbox one ?    But... why ?Edited February 8, 2016 by Vektor_Noirsang","Frequently asked questions",65
"66","I have a completely random question. Will you ever implement the ""Dirty Clothes"" or ""Eagle Shirt"" outfit you see in the games title screen? I know there is a glitch to get it, but I don't want to potentially mess up my Xbox to do it. ","Frequently asked questions",66
"67","Can relief kits up your legend levels xp?","Frequently asked questions",67
"68","How do you play? I can use my pinky knuckle for hitting the keyboard conntrols (as long as its one button/key at a time, 2 keys/button not happening) and use my tracball mouse to turn around and the 4 button are programmable so top left is left click and stick and same as right clik an stick. But I CANNOT drive vforward in cars and steer on keyboard at the same time!!!!!","Frequently asked questions",68
"69"," why when I want use ' Grappling Hook ' he said [ you are exhasuted, you cannot use Grappling Hook ]please can you help me to fix that . Thank you ","Frequently asked questions",69
"70","  ","Frequently asked questions",70
"71","I know the following has only just come out, amazing game and dlc, just cant get enough, and I'm massively jumping the gun but is there going to be any other big updates in the near future or are we going to have to wait for a while","Frequently asked questions",71
"72","The first update should be to patch all the problems in the following","Frequently asked questions",72
"73","Some outfits are missing detail or the right colors when i look down while wearing them, is this a glitch or intended? the two outfits are the Dragon ninja outfit and GRE enforcer outfit.","Frequently asked questions",73
"74","I bought Dying Light at Walmart and it came with the DLCs but when I play it says I dont have any of them. ","Frequently asked questions",74
"75","How do I get my docket codes? ","Frequently asked questions",75
"76","I own a copy of dying light,I just bought the enhanced edition,will the enhanced edition link up with my base game,I dont want to have to play the whole game all over again. reason I bought the enhanced edition is that I live in China and the internet on the PS4 is not so good.I really want to play the following.I have just finished the main game and Im on level 19. hope soemone can help cheers","Frequently asked questions",76
"77","it seems I cant use  any saves from my dying light game to the enhanced edition,I really dont want to start the whole game again.as Im on level 21 right now.maybe when the file downloads  it might chnaage but Im not so sure. has any one played dying light the bought the enhanced edition? did you have to play through the whole game again?Hi, Mrhtrevor! Yes, your save files will work with the Enhanced Edition I have dying light and I have just bought the enhanced edition will i have to play through the whole game again?Im on level 21 and dont want playthrough again,I just want to play the following.","Frequently asked questions",77
"78","NEW! connection issues for multiplayer on xbox one","Frequently asked questions",78
"79","Dying Light Frequently Asked Questions","Frequently asked questions",79
"80","On 2/16/2015 at 0:04 AM, BiGRiG907 said:They are listening to all your posts. They are putting a patch through to fix some major bugs like the game save issues and crashing. There is a new post on it if you would read through them. They are doing a good job in my eyes. No game is perfect at launch and it takes time to fix all the issues. This is a great game with incredible developersFINALLY!¹I know this is an old post, and the game's ""been out a while,"" but since I just bought it on Steam and there's NO manual, I thought I'd give this thread a quick read-through.¹Someone addresses this ""issue"" with a positive attitude, in a constructive fashion. The thing the people (I employ that word diplomatically) detracting the developers on this point fail to be able to recognize is that their plaints are being heard…that they are unanswered because of the lack of information in their responses; I mean, if I were a game dev (I'm a non-gaming app dev), I honestly don't know how I would respond to, ""dis krap sux—pleez fix.""I'm having a couple of issues with this game, but NO obviously hardware-related problems [that, by their nature, cannot possibly be fixed with any ""patch""], because I saved for a YEAR to be able to buy a decent relatively high-end rig that can HANDLE this game (I actually custom-designed it to surpass the requirements of Watch_Dogs):• Water-Cooled Intel i5 6600K• Gigabyte Z170-HD3P motherboard with Intel chipset• 16 GB Skilljaws SDRAM III• Zotac GTX 970 / 2 GBI'm running the game on max settings, and experience NONE of the supposed ""game-breaking flaws"" that allegedly exist.","Frequently asked questions",80
"81","Dying Light: The Following - Enhanced Edition","The Following",1
"82","Hey guys! We've noticed you have a lot of questions. This infographic should clear things up.   ","The Following",2
"83","Will the new enhanced edition have the DLC content and The Following on-disc, or will it simply be a download code for the content?","The Following",3
"84","Dying Light I LOVE IT! Can't wait for the following and the EE gonna be an awesome addition to my gaming library! Gotta say you guys have done an amazing job with taking this awesome game to the next level. What I thought (knew) was going to be a pretty damn cool Zombie game has turned into a must-play AAA game and it will go down as a classic video game that many of the younger gamers out there will remember fondly in 20 years the way I remember the 1st Resident Evil. You guys have done great. And I think we haven't seen anything yet and I know I look forward to the future and what you all do as a Game Developer for many years to come! So thanks and great Job!","The Following",4
"85","If I purchase the Enhanced edition will my previous save game from the original Dying Light still work ?  I don't want to get screwed like I did when I sold my Batman Arkham City to get the GOTY edition, only to find out the save games were incompatible between the two. ","The Following",5
"86","Is the improvement update coming out the same time as the following or will it come sooner.","The Following",6
"87","But what about Be The Zombie? Are they any notes for that?","The Following",7
"88","With the massive and undeniable success of Dying Light.  I hope that a Sequel is Possible.  Or maybe a prequel that explores the Origin of the Outbreak and the People who Released it upon Haran.","The Following",8
